Question,Understanding,Emotion,Reasoning,Response
How do Fungi get nutrition?,Low understanding, anxious, deductive,"""Do fungi make their own food like plants do?"""
How do Fungi get nutrition?,Low understanding, anxious, deductive,"""If fungi can't move, maybe they absorb food somehow?"""
How do Fungi get nutrition?,Low understanding, bored, deductive,"""I guess fungi get food from the ground or something."""
How do Fungi get nutrition?,Low understanding, bored, deductive,"""Maybe they eat whatever they're growing on."""
How do Fungi get nutrition?,Low understanding, bored, deductive,"""I don’t know."""
How do Fungi get nutrition?,Low understanding, fed up, deductive,"""Ugh, maybe fungi eat dirt or whatever is around."""
How do Fungi get nutrition?,Low understanding, fed up, deductive,"""They must get nutrition somehow; I don't really care."""
How do Fungi get nutrition?,Low understanding, fatigued, deductive,"""I'm too tired, but maybe fungi absorb food from the soil."""
How do Fungi get nutrition?,Low understanding, fatigued, deductive,"""Probably they feed on stuff nearby; I'm not sure."""
How do Fungi get nutrition?,Low understanding, fatigued, deductive,"""(silent) """
How do Fungi get nutrition?,Low understanding, distressed, deductive,"""I have no idea how fungi eat; this is confusing."""
How do Fungi get nutrition?,Low understanding, distressed, deductive,"""If they aren't plants, then how do they get food?"""
How do Fungi get nutrition?,Low understanding, engaged, deductive,"""Since fungi aren't plants, they must get food differently."""
How do Fungi get nutrition?,Low understanding, engaged, deductive,"""Maybe fungi absorb nutrients because they can't photosynthesize."""
How do Fungi get nutrition?,Low understanding, anxious, inductive,"""I've seen fungi on trees; do they eat the wood?"""
How do Fungi get nutrition?,Low understanding, anxious, inductive,"""Fungi grow on old food; maybe they feed on that?"""
How do Fungi get nutrition?,Low understanding, bored, inductive,"""Fungi are on rotten stuff, so they probably eat it."""
How do Fungi get nutrition?,Low understanding, bored, inductive,"""They grow on moldy bread; guess they like bread."""
How do Fungi get nutrition?,Low understanding, bored, inductive,"""(silent)"""
How do Fungi get nutrition?,Low understanding, fed up, inductive,"""Whatever, fungi are on dead things, so they eat those."""
How do Fungi get nutrition?,Low understanding, fed up, inductive,"""I've seen them on logs; they must eat wood."""
How do Fungi get nutrition?,Low understanding, fed up, inductive,"""I don’t know"""
How do Fungi get nutrition?,Low understanding, fatigued, inductive,"""Fungi are on dead plants; maybe they eat them."""
How do Fungi get nutrition?,Low understanding, fatigued, inductive,"""Too tired to think; they probably feed on what’s near them."""
How do Fungi get nutrition?,Low understanding, distressed, inductive,"""I can't figure it out; fungi grow on stuff, so maybe they eat it."""
How do Fungi get nutrition?,Low understanding, distressed, inductive,"""This is hard; do fungi consume what they grow on?"""
How do Fungi get nutrition?,Low understanding, engaged, inductive,"""Fungi grow on decaying things; they might get nutrients from them."""
How do Fungi get nutrition?,Low understanding, engaged, inductive,"""Seeing fungi on logs, perhaps they absorb food from the wood."""
How do Fungi get nutrition?,Low understanding, anxious, analogical,"""Are fungi like animals that eat food?"""
How do Fungi get nutrition?,Low understanding, anxious, analogical,"""Maybe fungi are like sponges, soaking up nutrients?"""
How do Fungi get nutrition?,Low understanding, bored, analogical,"""Fungi are like mold; they just grow on stuff."""
How do Fungi get nutrition?,Low understanding, bored, analogical,"""They're like parasites feeding off whatever they're on."""
How do Fungi get nutrition?,Low understanding, bored, analogical,"""(silent)"""
How do Fungi get nutrition?,Low understanding, fed up, analogical,"""Fungi are like leeches, maybe they suck nutrients."""
How do Fungi get nutrition?,Low understanding, fed up, analogical,"""I don't care; fungi are like moss, they just exist."""
How do Fungi get nutrition?,Low understanding, fatigued, analogical,"""Fungi might be like sponges, absorbing things."""
How do Fungi get nutrition?,Low understanding, fatigued, analogical,"""Too sleepy; maybe fungi eat like animals do."""
How do Fungi get nutrition?,Low understanding, fatigued, analogical,"""(silent)"""
How do Fungi get nutrition?,Low understanding, distressed, analogical,"""Fungi could be like thieves, taking nutrients from others."""
How do Fungi get nutrition?,Low understanding, distressed, analogical,"""This is stressful; are fungi like animals that eat?"""
How do Fungi get nutrition?,Low understanding, engaged, analogical,"""Fungi are like decomposers, breaking down dead stuff."""
How do Fungi get nutrition?,Low understanding, engaged, analogical,"""They're like recyclers, turning waste into food."""
How do Fungi get nutrition?,Medium understanding, anxious, deductive,"""Since fungi can't photosynthesize, they absorb nutrients from elsewhere."""
How do Fungi get nutrition?,Medium understanding, anxious, deductive,"""They lack chlorophyll, so they must get food differently."""
How do Fungi get nutrition?,Medium understanding, bored, deductive,"""Maybe fungi break down material to get nutrients."""
How do Fungi get nutrition?,Medium understanding, bored, deductive,"""They absorb food because they can't make it themselves."""
How do Fungi get nutrition?,Medium understanding, fed up, deductive,"""They decompose things for food; can we move on?"""
How do Fungi get nutrition?,Medium understanding, fed up, deductive,"""Fungi eat dead stuff because they can't photosynthesize."""
How do Fungi get nutrition?,Medium understanding, fatigued, deductive,"""Fungi get nutrients by breaking down matter; I'm too tired."""
How do Fungi get nutrition?,Medium understanding, fatigued, deductive,"""They absorb from decaying stuff since they can't make food."""
How do Fungi get nutrition?,Medium understanding, distressed, deductive,"""I think fungi decompose things to eat; it's confusing."""
How do Fungi get nutrition?,Medium understanding, distressed, deductive,"""They must get food from surroundings; this is hard."""
How do Fungi get nutrition?,Medium understanding, engaged, deductive,"""Fungi get nutrients by decomposing stuff because they lack chlorophyll."""
How do Fungi get nutrition?,Medium understanding, engaged, deductive,"""Since they aren't plants, fungi absorb nutrients from dead things."""
How do Fungi get nutrition?,Medium understanding, anxious, inductive,"""Fungi grow on dead logs; they must get food from them too."""
How do Fungi get nutrition?,Medium understanding, anxious, inductive,"""Seeing fungi on decay, they probably absorb nutrients there."""
How do Fungi get nutrition?,Medium understanding, bored, inductive,"""Fungi are on old leaves, so they eat dead stuff."""
How do Fungi get nutrition?,Medium understanding, bored, inductive,"""Don’t they grow where things rot; that's how they get food."""
How do Fungi get nutrition?,Medium understanding, fed up, inductive,"""Aren’t fungi are found on decay? so they must feed on it."""
How do Fungi get nutrition?,Medium understanding, fed up, inductive,"""They grow on dead things; it's obvious they eat them."""
How do Fungi get nutrition?,Medium understanding, fatigued, inductive,"""Fungi on compost suggest they eat decaying material."""
How do Fungi get nutrition?,Medium understanding, fatigued, inductive,"""They feed on rotting wood; too tired to explain more."""
How do Fungi get nutrition?,Medium understanding, distressed, inductive,"""I'm confused, but fungi seem to eat what they grow on."""
How do Fungi get nutrition?,Medium understanding, distressed, inductive,"""Maybe fungi absorb nutrients from the dead matter they're on."""
How do Fungi get nutrition?,Medium understanding, engaged, inductive,"""Since fungi grow on dead plants, they get nutrients from them."""
How do Fungi get nutrition?,Medium understanding, engaged, inductive,"""Observing fungi on decay, they likely absorb nutrients there."""
How do Fungi get nutrition?,Medium understanding, anxious, analogical,"""Fungi are like recyclers, feeding on dead material."""
How do Fungi get nutrition?,Medium understanding, anxious, analogical,"""Maybe they're like decomposers, breaking down stuff to eat."""
How do Fungi get nutrition?,Medium understanding, bored, analogical,"""Fungi are like sponges soaking up nutrients."""
How do Fungi get nutrition?,Medium understanding, bored, analogical,"""They're like cleaners, feeding on waste."""
How do Fungi get nutrition?,Medium understanding, bored, analogical,"""(silent)"""
How do Fungi get nutrition?,Medium understanding, fed up, analogical,"""Fungi are like garbage disposals; they eat junk."""
How do Fungi get nutrition?,Medium understanding, fed up, analogical,"""They're nature's recyclers; can we stop now?"""
How do Fungi get nutrition?,Medium understanding, fatigued, analogical,"""Fungi act like decomposers, feeding off dead things."""
How do Fungi get nutrition?,Medium understanding, fatigued, analogical,"""Too tired; think of fungi as absorbers."""
How do Fungi get nutrition?,Medium understanding, fatigued, analogical,“I don’t know”
How do Fungi get nutrition?,Medium understanding, distressed, analogical,"""Fungi are like parasites on dead stuff; they feed off it."""
How do Fungi get nutrition?,Medium understanding, distressed, analogical,"""This is tough; maybe fungi are like saprophytes."""
How do Fungi get nutrition?,Medium understanding, engaged, analogical,"""Fungi are nature's recyclers, getting food from dead matter."""
How do Fungi get nutrition?,Medium understanding, engaged, analogical,"""They're like decomposers, absorbing nutrients from decay."""
How do Fungi get nutrition?,High understanding, anxious, deductive,"""Fungi secrete enzymes to decompose matter and absorb nutrients."""
How do Fungi get nutrition?,High understanding, anxious, deductive,"""Since they lack chlorophyll, fungi digest externally to feed."""
How do Fungi get nutrition?,High understanding, bored, deductive,"""They break down material outside and absorb it."""
How do Fungi get nutrition?,High understanding, bored, deductive,"""Fungi get nutrition by external digestion."""
How do Fungi get nutrition?,High understanding, fed up, deductive,"""Fungi digest food externally; can we move on?"""
How do Fungi get nutrition?,High understanding, fed up, deductive,"""They secrete enzymes and absorb nutrients; enough said."""
How do Fungi get nutrition?,High understanding, fatigued, deductive,"""Fungi decompose matter and absorb nutrients; I'm tired."""
How do Fungi get nutrition?,High understanding, fatigued, deductive,"""They feed by external digestion and absorption."""
How do Fungi get nutrition?,High understanding, distressed, deductive,"""Fungi obtain nutrition through extracellular digestion; hope that's right."""
How do Fungi get nutrition?,High understanding, distressed, deductive,"""They secrete enzymes to break down food; this is stressful."""
How do Fungi get nutrition?,High understanding, engaged, deductive,"""Fungi feed by releasing enzymes to decompose matter externally."""
How do Fungi get nutrition?,High understanding, engaged, deductive,"""They digest outside their bodies and absorb nutrients."""
How do Fungi get nutrition?,High understanding, anxious, inductive,"""Fungi decompose logs; they must secrete enzymes to eat."""
How do Fungi get nutrition?,High understanding, anxious, inductive,"""Growing on dead plants suggests they absorb nutrients from decay."""
How do Fungi get nutrition?,High understanding, bored, inductive,"""Fungi are on decaying matter; they digest it for food."""
How do Fungi get nutrition?,High understanding, bored, inductive,"""They grow where things rot, so they get nutrition there."""
How do Fungi get nutrition?,High understanding, fed up, inductive,"""Fungi decompose stuff to feed; can we stop?"""
How do Fungi get nutrition?,High understanding, fed up, inductive,"""They absorb nutrients from decay; let's move on."""
How do Fungi get nutrition?,High understanding, fatigued, inductive,"""Fungi on dead wood digest it externally for food."""
How do Fungi get nutrition?,High understanding, fatigued, inductive,"""They feed on decaying matter; too tired to elaborate."""
How do Fungi get nutrition?,High understanding, distressed, inductive,"""Fungi break down leaves to absorb nutrients."""
How do Fungi get nutrition?,High understanding, distressed, inductive,"""This is hard; fungi decompose stuff to get food."""
How do Fungi get nutrition?,High understanding, engaged, inductive,"""Observing fungi on compost, they secrete enzymes to feed."""
How do Fungi get nutrition?,High understanding, engaged, inductive,"""They grow on decay, indicating external digestion for nutrition."""
How do Fungi get nutrition?,High understanding, anxious, analogical,"""Fungi are like external stomachs, digesting food outside."""
How do Fungi get nutrition?,High understanding, anxious, analogical,"""Maybe fungi act like saprophytes, feeding on dead stuff."""
How do Fungi get nutrition?,High understanding, bored, analogical,"""Fungi are recyclers, breaking down dead things."""
